word, corpus, audience_love_ratio, audience_hate_ratio, critics_hate_ratio, critics_love_ratio
medieval,2.51031110285e-05,4.46525991313,3.28217022328,3.6816728281,6.76902293968
smith,6.02474664685e-05,3.72104992761,0.683785463184,4.60209103512,2.82042622487
video,0.000130536177348,3.64949127515,0.946779872101,3.54007002702,0.650867590354
reveals,7.53093330856e-05,3.34894493485,0.547028370547,1.22722427603,1.12817048995
worst,0.000205845510434,3.13112737811,0.800529322752,1.79593796492,0.4127453012
johnson,7.27990219828e-05,3.07948959526,0.565891417808,3.80862706355,5.83536460317
muddled,2.76134221314e-05,3.04449539532,1.49189555604,3.34697529827,3.07682860894
onto,0.000120494932937,2.79078744571,0.683785463184,0.76701517252,0.705106556216
stupid,0.00014057742176,2.5914454853,0.586101825586,1.31488315289,0.604377048185
saving,4.76959109542e-05,2.35013679638,0.863729006127,3.87544508221,1.78132182623
save,0.000107943377423,2.33647321036,0.381647700382,0.856202983278,0.78709569066
terrible,0.000168190843891,2.33259846208,2.20444268728,2.74751703589,0.505150965648
attempts,0.000125515555143,2.23262995656,0.984651066985,2.20900369686,0.676902293968
shouldnt,5.02062220571e-05,2.23262995656,2.46162766746,1.84083641405,1.69225573492
book,0.000190783643817,2.20325324661,0.863729006127,4.84430635276,0.445330456558
giving,0.000205845510434,2.17817556738,1.40092631482,0.448984491231,0.4127453012
reason,0.000296216710137,2.17586817801,0.834450056767,0.624012343745,0.573646011837
king,0.00019329395492,2.17463956808,0.426255873154,2.39069664162,0.439546944135
child,0.000195804266023,2.14675957362,1.2623731628,0.944018673871,1.30173518071
gave,0.000117984621834,2.1376244265,1.39666818012,0.783334644276,1.44021764674
twist,0.000120494932937,2.09309058428,0.683785463184,1.53403034504,1.41021311243
franchise,0.000461897242925,2.06275593813,1.0702728989,2.0009091457,1.10364504451
kept,0.000150618666171,2.04657746018,1.36757092637,0.613612138016,0.564085244973
order,0.00031629919896,2.0377178175,1.43269335143,0.292196256198,0.268612021416
space,0.000208355821537,2.01743670774,0.395442195576,3.10502527671,0.407772466246
