word, corpus, audience_love_ratio, audience_hate_ratio, critics_hate_ratio, critics_love_ratio
only,0.000896378630333,2.46359955834,0.883760232374,1.53875862069,3.05643835616
makes,0.0010756543564,2.39516623727,0.981955813749,1.28229885057,1.27351598174
least,0.000486605542181,2.26910485636,0.542659791809,2.8345553539,2.8151405912
take,0.000819546176305,2.24546834744,1.61102125693,1.68301724138,1.67148972603
are,0.00404650924551,2.18293631751,0.783078686914,0.340864251419,1.35411825906
few,0.000870767812324,2.11338197406,1.51625530064,1.58401622718,1.57316680097
me,0.00151103826256,1.94860982015,0.699019392838,0.912822910579,1.81314139772
even,0.00233058443887,1.89507658334,0.679815563365,0.591830238727,1.17555321391
place,0.000640270450238,1.72451969084,1.23726432532,2.15426206897,2.13950684932
get,0.0013317625365,1.65819201042,0.991397696573,1.03570291777,1.02860906217
think,0.000896378630333,1.64239970556,1.47293372062,3.07751724138,4.58465753425
something,0.000896378630333,1.64239970556,0.294586744125,1.53875862069,1.52821917808
like,0.00317574143318,1.50663682667,1.24724226343,1.73730812013,0.862704374724
what,0.002689135891,1.50553306343,1.1783469765,0.51291954023,1.01881278539
ideas,0.000256108180095,1.43709974236,4.12421441774,5.38565517241,5.34876712329
some,0.00184397889669,1.39718030508,0.85921133703,0.748007662835,0.742884322679
down,0.0005378271782,1.3686664213,0.981955813749,2.56459770115,2.54703196347
be,0.00550632587205,1.33683696964,1.05503159524,2.50495589415,0.497559732399
will,0.00220253034882,1.33683696964,0.959119632034,1.87871692061,1.243899331
better,0.00110126517441,1.33683696964,0.959119632034,2.50495589415,1.243899331
characters,0.00227936280285,1.29177504931,0.926789756797,0.605129794653,0.600985070032
does,0.000870767812324,1.26802918444,0.303251060128,1.58401622718,3.14633360193
his,0.00504533114788,1.24013683351,1.46545689971,0.27338351129,0.543022042973
more,0.00304768734313,1.20764684232,1.29964740055,0.905152129817,0.449476228848
movie,0.00522460687394,1.19758311864,0.96029502374,2.11202163624,1.31097233414
by,0.00338062797726,1.19758311864,1.32787206632,0.408004179728,1.21562889166
really,0.0013317625365,1.10546134028,1.3879567752,2.07140583554,1.02860906217
full,0.000665881268248,1.10546134028,0.793118157259,2.07140583554,8.22887249737
it,0.010730932746,1.09754634262,1.0335143529,1.15682330672,1.53186647922
so,0.00307329816114,1.07782480677,1.97618607517,0.448804597701,0.891461187215
to,0.0256620396455,1.07567345985,1.01870565708,0.69873769702,0.960856369453
about,0.00343184961328,1.0724624943,1.15416448258,0.803829130211,1.99580862809
that,0.0123700250986,1.07113024275,1.11003700685,1.33805097451,0.996664681358
up,0.00207447625877,1.06451832768,0.636452842245,2.65958280119,0.660341620159
